,0,1,2,3,4,5,6,7,8,9
section_label,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
glomID,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
glom_areas,909.0,676.0,979.5,783.25,849.75,583.25,665.5,431.0,928.25,872.75
glom_bb_areas,1326.0,945.5,1330.0,1116.5,1071.0,938.0,1024.0,607.5,1387.0,1170.0
glom_convex_areas,938.75,707.75,1010.25,804.5,889.5,612.25,688.5,466.25,964.75,901.0
glom_eccentricities,0.5649644740239422,0.5734729526847553,0.41100163050389815,0.7680099594661501,0.46670571799168237,0.8727054851535542,0.6093880742332675,0.7160754218593396,0.4827559200664169,0.6229809564779457
glom_equiv_diams,68.04042169664332,58.67571668896666,70.62968594204824,63.15900168349136,65.78556994170391,54.50199865938069,58.2182417124135,46.85152052093316,68.75709730349048,66.66992763360744
glom_extents,0.6855203619909502,0.7149656266525648,0.7364661654135338,0.7015226153157188,0.7934173669467787,0.6218017057569296,0.64990234375,0.7094650205761317,0.6692501802451334,0.745940170940171
glom_major_axis_lengths,76.23523626328954,65.62173509228447,74.62079266097702,79.39849873706319,70.57330899227695,78.6121111565191,65.80320293722649,57.12661414267513,73.77503304205925,75.64790179516798
glom_minor_axis_lengths,62.90285451794332,53.75893276520724,68.02689711606268,50.84980769540942,62.41592871389141,38.38212769135002,52.17352403252889,39.875685742021645,64.60884991772667,59.17458793530144
glom_orientations,1.1798522180524973,-0.9619416037640034,1.3835594424447029,0.4092879505773324,0.5832823707369923,0.5359979597462364,0.6802237464122138,1.3091578176134433,0.6032937189520106,0.6738585498018236
glom_perimeters,237.03657992645924,203.58073580374355,243.1370849898476,223.4802307403552,229.58073580374355,203.92388155425118,205.9655121145938,168.71067811865473,241.27922061357856,231.92388155425118
glom_solidities,0.9683089214380826,0.9551395266690216,0.9695619896065331,0.973586078309509,0.9553119730185498,0.9526337280522662,0.9665940450254176,0.924396782841823,0.9621663643430941,0.968645948945616
raw_pod_cts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thin_pod_cts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thin_pod_density,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thin_pod_tpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thin_pod_gpc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_pod_area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_glom_area_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter_pod_dist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pods_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_bb_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_bb_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_bb_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_bb_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_bb_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_bb_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_bb_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_convex_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_convex_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_convex_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_convex_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_convex_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_convex_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_convex_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_eccentricities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_eccentricities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_eccentricities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_eccentricities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_eccentricities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_eccentricities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_eccentricities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_equiv_diams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_equiv_diams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_equiv_diams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_equiv_diams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_equiv_diams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_equiv_diams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_equiv_diams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_extents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_extents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_extents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_extents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_extents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_extents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_extents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_major_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_major_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_major_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_major_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_major_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_major_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_major_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_minor_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_minor_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_minor_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_minor_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_minor_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_minor_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_minor_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_max_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_max_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_max_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_max_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_max_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_max_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_max_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_mean_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_mean_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_mean_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_mean_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_mean_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_mean_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_mean_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_min_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_min_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_min_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_min_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_min_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_min_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_min_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_orientations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_orientations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_orientations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_orientations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_orientations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_orientations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_orientations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_perimeters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_perimeters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_perimeters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_perimeters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_perimeters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_perimeters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_perimeters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_solidities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_solidities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_solidities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_solidities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_solidities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_solidities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_solidities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_bowmans_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_bowmans_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_bowmans_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_bowmans_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_bowmans_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_bowmans_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_bowmans_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pod_glom_ctr_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_pod_glom_ctr_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med_pod_glom_ctr_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_pod_glom_ctr_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_pod_glom_ctr_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_pod_glom_ctr_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_pod_glom_ctr_dists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
