,0,1,2,3,4,5,6
glom_id,1.0,2.0,3.0,4.0,5.0,6.0,7.0
global_pod_id,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_pod_id,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_bb_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_convex_areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_eccentricities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_equiv_diams,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_extents,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_major_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_minor_axis_lengths,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_max_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_mean_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_min_intensities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_orientations,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_perimeters,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_solidities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_bowmans_dist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod_glom_ctr_dist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
